"name","Cena","Hodnota","Jednotka","Rok","Mzda"
Jakostní víno bílé,96.69705555555551,0.75,l,2017,29735.7763
Jakostní víno bílé,100.09700000000005,0.75,l,2018,31980.2632
Jogurt bílý netučný,5.829360000000014,150.0,g,2006,20342.3816
Jogurt bílý netučný,5.876166666666687,150.0,g,2007,21724.6053
Jogurt bílý netučný,6.28055072463769,150.0,g,2008,23475.1711
Jogurt bílý netučný,6.08366666666666,150.0,g,2009,24238.1711
Jogurt bílý netučný,6.2565454545454555,150.0,g,2010,24722.1974
Jogurt bílý netučný,6.51422222222222,150.0,g,2011,25284.3816
Jogurt bílý netučný,7.160111111111117,150.0,g,2012,26077.1184
Jogurt bílý netučný,7.6977777777777785,150.0,g,2013,25670.8421
Jogurt bílý netučný,8.498166666666668,150.0,g,2014,26323.5526
Jogurt bílý netučný,8.521944444444442,150.0,g,2015,26959.7237
Jogurt bílý netučný,8.116055555555555,150.0,g,2016,27946.9211
Jogurt bílý netučný,8.72711111111111,150.0,g,2017,29735.7763
Jogurt bílý netučný,9.171277777777773,150.0,g,2018,31980.2632
Kapr živý,69.34977777777779,1.0,kg,2006,20342.3816
Kapr živý,78.96690476190476,1.0,kg,2007,21724.6053
Kapr živý,80.43999999999998,1.0,kg,2008,23475.1711
Kapr živý,81.99533333333333,1.0,kg,2009,24238.1711
Kapr živý,84.37733333333333,1.0,kg,2010,24722.1974
Kapr živý,86.85,1.0,kg,2011,25284.3816
Kapr živý,90.092,1.0,kg,2012,26077.1184
Kapr živý,88.09466666666665,1.0,kg,2013,25670.8421
Kapr živý,86.37333333333332,1.0,kg,2014,26323.5526
Kapr živý,87.17066666666666,1.0,kg,2015,26959.7237
Kapr živý,85.07,1.0,kg,2016,27946.9211
Kapr živý,87.72333333333333,1.0,kg,2017,29735.7763
Kapr živý,93.45866666666669,1.0,kg,2018,31980.2632
Konzumní brambory,12.074920000000002,1.0,kg,2006,20342.3816
Konzumní brambory,14.102750000000022,1.0,kg,2007,21724.6053
Konzumní brambory,10.783608695652172,1.0,kg,2008,23475.1711
Konzumní brambory,10.221583333333337,1.0,kg,2009,24238.1711
Konzumní brambory,13.273909090909102,1.0,kg,2010,24722.1974
Konzumní brambory,13.52872222222222,1.0,kg,2011,25284.3816
Konzumní brambory,10.561499999999999,1.0,kg,2012,26077.1184
Konzumní brambory,16.934722222222213,1.0,kg,2013,25670.8421
Konzumní brambory,13.523499999999997,1.0,kg,2014,26323.5526
Konzumní brambory,13.340777777777781,1.0,kg,2015,26959.7237
Konzumní brambory,15.215777777777781,1.0,kg,2016,27946.9211
Konzumní brambory,15.928666666666663,1.0,kg,2017,29735.7763
Konzumní brambory,15.079333333333333,1.0,kg,2018,31980.2632
Kuřata kuchaná celá,47.47375999999998,1.0,kg,2006,20342.3816
Kuřata kuchaná celá,53.60987500000004,1.0,kg,2007,21724.6053
Kuřata kuchaná celá,60.85578260869556,1.0,kg,2008,23475.1711
Kuřata kuchaná celá,57.86044444444449,1.0,kg,2009,24238.1711
Kuřata kuchaná celá,56.900909090909074,1.0,kg,2010,24722.1974
Kuřata kuchaná celá,58.295666666666705,1.0,kg,2011,25284.3816
Kuřata kuchaná celá,62.89955555555558,1.0,kg,2012,26077.1184
Kuřata kuchaná celá,69.29622222222216,1.0,kg,2013,25670.8421
Kuřata kuchaná celá,71.76638888888886,1.0,kg,2014,26323.5526
Kuřata kuchaná celá,69.5825555555555,1.0,kg,2015,26959.7237
Kuřata kuchaná celá,68.9746111111111,1.0,kg,2016,27946.9211
Kuřata kuchaná celá,68.1786666666666,1.0,kg,2017,29735.7763
Kuřata kuchaná celá,69.30955555555552,1.0,kg,2018,31980.2632
Máslo,104.38782666666675,1.0,kg,2006,20342.3816
Máslo,115.7846944444446,1.0,kg,2007,21724.6053
Máslo,114.74089855072472,1.0,kg,2008,23475.1711
Máslo,96.09458333333326,1.0,kg,2009,24238.1711
Máslo,118.39193939393937,1.0,kg,2010,24722.1974
Máslo,139.18833333333345,1.0,kg,2011,25284.3816
Máslo,137.03400000000005,1.0,kg,2012,26077.1184
Máslo,154.80272222222226,1.0,kg,2013,25670.8421
Máslo,162.9711111111111,1.0,kg,2014,26323.5526
Máslo,157.0362222222222,1.0,kg,2015,26959.7237
Máslo,148.3407777777778,1.0,kg,2016,27946.9211
Máslo,197.7887222222222,1.0,kg,2017,29735.7763
Máslo,207.0841666666665,1.0,kg,2018,31980.2632
Mléko polotučné pasterované,14.437840000000001,1.0,l,2006,20342.3816
Mléko polotučné pasterované,15.59225,1.0,l,2007,21724.6053
Mléko polotučné pasterované,17.93157971014491,1.0,l,2008,23475.1711
Mléko polotučné pasterované,15.658249999999983,1.0,l,2009,24238.1711
Mléko polotučné pasterované,16.034424242424254,1.0,l,2010,24722.1974
Mléko polotučné pasterované,17.64561111111112,1.0,l,2011,25284.3816
Mléko polotučné pasterované,18.80116666666667,1.0,l,2012,26077.1184
Mléko polotučné pasterované,19.343888888888895,1.0,l,2013,25670.8421
Mléko polotučné pasterované,20.699666666666676,1.0,l,2014,26323.5526
Mléko polotučné pasterované,19.540611111111122,1.0,l,2015,26959.7237
Mléko polotučné pasterované,17.895277777777782,1.0,l,2016,27946.9211
Mléko polotučné pasterované,19.49561111111113,1.0,l,2017,29735.7763
Mléko polotučné pasterované,19.817555555555558,1.0,l,2018,31980.2632
Mrkev,14.409266666666667,1.0,kg,2006,20342.3816
Mrkev,14.176750000000016,1.0,kg,2007,21724.6053
Mrkev,16.875391304347875,1.0,kg,2008,23475.1711
Mrkev,16.564638888888904,1.0,kg,2009,24238.1711
Mrkev,15.790909090909075,1.0,kg,2010,24722.1974
Mrkev,16.436555555555557,1.0,kg,2011,25284.3816
Mrkev,17.442999999999998,1.0,kg,2012,26077.1184
Mrkev,18.591777777777782,1.0,kg,2013,25670.8421
Mrkev,16.216722222222216,1.0,kg,2014,26323.5526
Mrkev,20.836555555555552,1.0,kg,2015,26959.7237
Mrkev,18.553000000000008,1.0,kg,2016,27946.9211
Mrkev,15.03316666666667,1.0,kg,2017,29735.7763
Mrkev,22.453277777777785,1.0,kg,2018,31980.2632
Papriky,35.31016000000004,1.0,kg,2006,20342.3816
Papriky,68.78897222222226,1.0,kg,2007,21724.6053
Papriky,62.29939130434781,1.0,kg,2008,23475.1711
Papriky,51.70330555555558,1.0,kg,2009,24238.1711
Papriky,61.49630303030305,1.0,kg,2010,24722.1974
Papriky,53.2866111111111,1.0,kg,2011,25284.3816
Papriky,58.83305555555557,1.0,kg,2012,26077.1184
Papriky,61.858944444444425,1.0,kg,2013,25670.8421
Papriky,60.548166666666646,1.0,kg,2014,26323.5526
Papriky,63.52155555555556,1.0,kg,2015,26959.7237
Papriky,64.55361111111112,1.0,kg,2016,27946.9211
Papriky,62.39894444444443,1.0,kg,2017,29735.7763
Papriky,60.46788888888884,1.0,kg,2018,31980.2632
Pečivo pšeničné bílé,38.59642666666676,1.0,kg,2006,20342.3816
Pečivo pšeničné bílé,44.04383333333327,1.0,kg,2007,21724.6053
Pečivo pšeničné bílé,54.31192753623187,1.0,kg,2008,23475.1711
Pečivo pšeničné bílé,38.833861111111084,1.0,kg,2009,24238.1711
Pečivo pšeničné bílé,33.53651515151516,1.0,kg,2010,24722.1974
Pečivo pšeničné bílé,43.247166666666665,1.0,kg,2011,25284.3816
Pečivo pšeničné bílé,43.669777777777796,1.0,kg,2012,26077.1184
Pečivo pšeničné bílé,41.97922222222224,1.0,kg,2013,25670.8421
Pečivo pšeničné bílé,40.536166666666645,1.0,kg,2014,26323.5526
Pečivo pšeničné bílé,39.46394444444442,1.0,kg,2015,26959.7237
Pečivo pšeničné bílé,40.841666666666725,1.0,kg,2016,27946.9211
Pečivo pšeničné bílé,45.23433333333331,1.0,kg,2017,29735.7763
Pečivo pšeničné bílé,43.83533333333333,1.0,kg,2018,31980.2632
"Pivo výčepní, světlé, lahvové",8.449613333333327,0.5,l,2006,20342.3816
"Pivo výčepní, světlé, lahvové",8.509194444444445,0.5,l,2007,21724.6053
"Pivo výčepní, světlé, lahvové",8.966130434782613,0.5,l,2008,23475.1711
"Pivo výčepní, světlé, lahvové",9.183750000000002,0.5,l,2009,24238.1711
"Pivo výčepní, světlé, lahvové",9.890030303030303,0.5,l,2010,24722.1974
"Pivo výčepní, světlé, lahvové",10.052611111111112,0.5,l,2011,25284.3816
"Pivo výčepní, světlé, lahvové",10.159111111111116,0.5,l,2012,26077.1184
"Pivo výčepní, světlé, lahvové",10.549055555555558,0.5,l,2013,25670.8421
"Pivo výčepní, světlé, lahvové",10.631444444444442,0.5,l,2014,26323.5526
"Pivo výčepní, světlé, lahvové",10.684500000000003,0.5,l,2015,26959.7237
"Pivo výčepní, světlé, lahvové",11.232999999999997,0.5,l,2016,27946.9211
"Pivo výčepní, světlé, lahvové",11.295000000000002,0.5,l,2017,29735.7763
"Pivo výčepní, světlé, lahvové",11.809499999999998,0.5,l,2018,31980.2632
Pomeranče,24.73317333333334,1.0,kg,2006,20342.3816
Pomeranče,30.23129166666667,1.0,kg,2007,21724.6053
Pomeranče,31.289014492753683,1.0,kg,2008,23475.1711
Pomeranče,29.790055555555572,1.0,kg,2009,24238.1711
Pomeranče,30.617757575757555,1.0,kg,2010,24722.1974
Pomeranče,28.063277777777774,1.0,kg,2011,25284.3816
Pomeranče,30.185500000000033,1.0,kg,2012,26077.1184
Pomeranče,31.369611111111116,1.0,kg,2013,25670.8421
Pomeranče,29.683055555555534,1.0,kg,2014,26323.5526
Pomeranče,32.49755555555553,1.0,kg,2015,26959.7237
Pomeranče,32.597111111111104,1.0,kg,2016,27946.9211
Pomeranče,36.319944444444396,1.0,kg,2017,29735.7763
Pomeranče,36.50044444444444,1.0,kg,2018,31980.2632
Přírodní minerální voda uhličitá,7.687919999999993,1.0,l,2006,20342.3816
Přírodní minerální voda uhličitá,7.727763888888893,1.0,l,2007,21724.6053
Přírodní minerální voda uhličitá,8.269521739130436,1.0,l,2008,23475.1711
Přírodní minerální voda uhličitá,8.213388888888892,1.0,l,2009,24238.1711
Přírodní minerální voda uhličitá,8.032848484848488,1.0,l,2010,24722.1974
Přírodní minerální voda uhličitá,8.291444444444442,1.0,l,2011,25284.3816
Přírodní minerální voda uhličitá,8.89483333333334,1.0,l,2012,26077.1184
Přírodní minerální voda uhličitá,8.739888888888888,1.0,l,2013,25670.8421
Přírodní minerální voda uhličitá,8.690111111111115,1.0,l,2014,26323.5526
Přírodní minerální voda uhličitá,8.706777777777779,1.0,l,2015,26959.7237
Přírodní minerální voda uhličitá,8.663055555555562,1.0,l,2016,27946.9211
Přírodní minerální voda uhličitá,8.783000000000005,1.0,l,2017,29735.7763
Přírodní minerální voda uhličitá,8.644722222222223,1.0,l,2018,31980.2632
Pšeničná mouka hladká,7.407573333333333,1.0,kg,2006,20342.3816
Pšeničná mouka hladká,9.084277777777759,1.0,kg,2007,21724.6053
Pšeničná mouka hladká,12.98182608695653,1.0,kg,2008,23475.1711
Pšeničná mouka hladká,9.970444444444443,1.0,kg,2009,24238.1711
Pšeničná mouka hladká,8.770424242424255,1.0,kg,2010,24722.1974
Pšeničná mouka hladká,11.441,1.0,kg,2011,25284.3816
Pšeničná mouka hladká,11.528888888888888,1.0,kg,2012,26077.1184
Pšeničná mouka hladká,13.33894444444444,1.0,kg,2013,25670.8421
Pšeničná mouka hladká,13.11627777777778,1.0,kg,2014,26323.5526
Pšeničná mouka hladká,12.588500000000002,1.0,kg,2015,26959.7237
Pšeničná mouka hladká,11.026277777777779,1.0,kg,2016,27946.9211
Pšeničná mouka hladká,11.429944444444448,1.0,kg,2017,29735.7763
Pšeničná mouka hladká,11.435388888888893,1.0,kg,2018,31980.2632
Rajská jablka červená kulatá,57.829613333333285,1.0,kg,2006,20342.3816
Rajská jablka červená kulatá,40.3196527777778,1.0,kg,2007,21724.6053
Rajská jablka červená kulatá,35.57736231884059,1.0,kg,2008,23475.1711
Rajská jablka červená kulatá,34.91694444444443,1.0,kg,2009,24238.1711
Rajská jablka červená kulatá,42.20936363636367,1.0,kg,2010,24722.1974
Rajská jablka červená kulatá,30.30622222222221,1.0,kg,2011,25284.3816
